colony,treatment,emigration,ID,age,colour
60,no_choice,1,yoo,old,none
60,no_choice,1,ybw,old,yellow
60,no_choice,1,ygo,old,none
60,no_choice,1,yog,old,none
60,no_choice,1,ywy,old,yellow
60,no_choice,1,yyb,old,yellow
60,no_choice,1,b,old,yellow
60,no_choice,1,bby,new,none
60,no_choice,1,boo,new,none
60,no_choice,1,gbb ,new,none
60,no_choice,1,goo,new,none
60,no_choice,1,gow,new,none
60,no_choice,1,gwg,new,none
60,no_choice,1,pop,new,none
60,no_choice,1,wpw,new,none
60,no_choice,1,oby,new,none
60,no_choice,2,bwb,old,blue
60,no_choice,2,gbo,old,none
60,no_choice,2,gyy,old,none
60,no_choice,2,obg,old,blue
60,no_choice,2,ogy,old,blue
60,no_choice,2,oob,old,none
60,no_choice,2,oyo,old,none
60,no_choice,2,wbb,old,blue
60,no_choice,2,wgg,old,blue
60,no_choice,2,woy,old,none
60,no_choice,2,wyw,old,blue
60,no_choice,2,wwo,dead,none
60,no_choice,2,yoo,old,none
60,no_choice,2,ybw,old,none
60,no_choice,2,ygo,old,blue
60,no_choice,2,yog,old,blue
60,no_choice,2,ywy,old,blue
60,no_choice,2,yyb,old,none
60,no_choice,2,b,old,blue
60,no_choice,2,bby,new,blue
60,no_choice,2,boo,new,none
60,no_choice,2,gbb ,new,none
60,no_choice,2,goo,new,none
60,no_choice,2,gow,new,none
60,no_choice,2,gwg,new,none
60,no_choice,2,pop,new,none
60,no_choice,2,wpw,new,none
60,no_choice,2,oby,new,blue
60,no_choice,3,bwb,old,none
60,no_choice,3,gbo,old,yellow
60,no_choice,3,gyy,old,yellow
60,no_choice,3,obg,old,none
60,no_choice,3,ogy,old,yellow
60,no_choice,3,oob,old,yellow
60,no_choice,3,oyo,old,yellow
60,no_choice,3,wbb,old,yellow
60,no_choice,3,wgg,old,yellow
60,no_choice,3,woy,old,none
60,no_choice,3,wyw,old,yellow
60,no_choice,3,wwo,dead,none
60,no_choice,3,yoo,old,yellow
60,no_choice,3,ybw,old,yellow
60,no_choice,3,ygo,old,yellow
60,no_choice,3,yog,old,none
60,no_choice,3,ywy,old,yellow
60,no_choice,3,yyb,old,yellow
60,no_choice,3,b,old,yellow
60,no_choice,3,bby,new,none
60,no_choice,3,boo,new,yellow
60,no_choice,3,gbb ,new,none
60,no_choice,3,goo,new,none
60,no_choice,3,gow,new,yellow
60,no_choice,3,gwg,new,yellow
60,no_choice,3,pop,new,none
60,no_choice,3,wpw,new,none
60,no_choice,3,oby,new,none
